year,profit_per_gambler,visits_per_gambler,ruin_events_per_gambler,active_share_year_end
235,1162.4720,3.21315,0.002741,0.812535
236,1160.9113,3.21067,0.002902,0.812510
237,1160.5807,3.21222,0.002729,0.812423
238,1160.1171,3.20908,0.002619,0.812402
239,1161.2499,3.21053,0.002875,0.812329
240,1160.6447,3.20969,0.002969,0.812228
241,1160.5287,3.20909,0.002661,0.812167
242,1161.1788,3.21075,0.002768,0.812101
243,1160.8838,3.21076,0.002875,0.811995
244,1161.3871,3.21255,0.002759,0.811910
245,1159.7099,3.20834,0.002633,0.811856
246,1160.0443,3.20819,0.002553,0.811801
247,1159.7958,3.20889,0.002729,0.811767
248,1160.1448,3.20778,0.002559,0.811694
249,1160.6253,3.20886,0.002573,0.811580
250,1160.0092,3.21011,0.002518,0.811511
251,1158.3488,3.20541,0.002610,0.811462
252,1159.0262,3.20642,0.002611,0.811388
253,1158.6404,3.20749,0.002672,0.811217
254,1156.9724,3.20515,0.002547,0.811130
255,1156.8694,3.20269,0.002584,0.811036
256,1157.2140,3.20506,0.002508,0.810993
257,1158.1444,3.20445,0.002392,0.810999
258,1157.3163,3.20337,0.002358,0.810946
259,1155.9220,3.20157,0.002407,0.810927
260,1157.6760,3.20463,0.002343,0.810818
261,1157.6235,3.20406,0.002455,0.810725
262,1156.5914,3.20482,0.002387,0.810650
263,1156.1145,3.20233,0.002445,0.810603
264,1156.4734,3.20301,0.002375,0.810545
265,1156.0210,3.20208,0.002275,0.810485
266,1155.2047,3.20065,0.002211,0.810462
267,1155.4838,3.20149,0.002326,0.810362
268,1155.4891,3.19986,0.002263,0.810294
269,1155.7515,3.20052,0.002278,0.810242
270,1156.4981,3.20092,0.002149,0.810194
271,1155.4650,3.19970,0.002319,0.810122
272,1155.0383,3.19946,0.002224,0.810037
273,1154.8178,3.19790,0.002177,0.810010
274,1154.9441,3.20035,0.002283,0.809918
275,1155.4154,3.20024,0.002243,0.809881
276,1155.7752,3.20189,0.002203,0.809791
277,1153.5680,3.19692,0.002205,0.809763
278,1154.8542,3.19731,0.002188,0.809704
279,1153.1316,3.19643,0.002039,0.809610
280,1154.3650,3.19745,0.002024,0.809568
281,1152.8327,3.19685,0.002115,0.809504
282,1153.6788,3.19690,0.002054,0.809449
283,1153.2018,3.19452,0.002122,0.809387
284,1153.9706,3.19758,0.002040,0.809345
285,1153.2353,3.19651,0.002043,0.809310
286,1153.7070,3.19752,0.002009,0.809254
287,1152.4022,3.19429,0.002061,0.809193
288,1152.7964,3.19369,0.001990,0.809124
289,1152.9989,3.19535,0.002050,0.809082
290,1152.7951,3.19586,0.002063,0.809007
291,1152.5209,3.19410,0.001935,0.808950
292,1152.4063,3.19346,0.002042,0.808877
293,1150.9781,3.19297,0.001945,0.808797
294,1151.8099,3.19210,0.001965,0.808794
295,1152.4968,3.19529,0.001923,0.808726
296,1151.2757,3.19444,0.001984,0.808665
297,1151.8406,3.19302,0.002064,0.808613
298,1152.0640,3.19277,0.002003,0.808570
299,1151.1429,3.19105,0.001982,0.808530
300,1151.3751,3.19144,0.001991,0.808494
301,1150.6119,3.19000,0.002004,0.808409
302,1151.5170,3.19242,0.001910,0.808349
303,1150.4716,3.19079,0.002023,0.808288
304,1151.0015,3.19098,0.001880,0.808245
305,1151.1860,3.19059,0.001708,0.808238
306,1150.6335,3.19041,0.001858,0.808153
307,1150.6571,3.19016,0.001762,0.808104
308,1150.5183,3.19074,0.001865,0.808045
309,1151.4011,3.18915,0.001819,0.807998
310,1150.2524,3.18973,0.001910,0.807941
311,1149.3552,3.18691,0.001788,0.807902
312,1149.4601,3.18735,0.001824,0.807822
313,1151.1511,3.18960,0.001752,0.807763
314,1149.2810,3.18814,0.001836,0.807726
315,1148.5214,3.18520,0.001879,0.807650
316,1149.1540,3.18771,0.001777,0.807609
317,1149.8371,3.19052,0.001887,0.807563
318,1148.4906,3.18520,0.001807,0.807516
319,1148.7495,3.18730,0.001673,0.807474
320,1148.9367,3.18567,0.001641,0.807424
321,1148.8452,3.18855,0.001745,0.807343
322,1148.5777,3.18582,0.001770,0.807321
323,1148.2158,3.18508,0.001760,0.807267
324,1147.4052,3.18550,0.001755,0.807207
325,1149.3446,3.18673,0.001622,0.807169
326,1147.2079,3.18313,0.001589,0.807120
327,1148.8742,3.18650,0.001653,0.807054
328,1147.4916,3.18385,0.001683,0.806991
329,1146.3511,3.18148,0.001702,0.806969
330,1146.4178,3.18249,0.001617,0.806921
331,1146.8637,3.18315,0.001746,0.806861
332,1147.9328,3.18422,0.001635,0.806812
333,1147.6050,3.18414,0.001651,0.806755
334,1147.4429,3.18580,0.001734,0.806745
335,1146.3903,3.18241,0.001707,0.806663
336,1146.4257,3.18205,0.001667,0.806628
337,1147.3247,3.18411,0.001533,0.806612
338,1146.3780,3.18173,0.001639,0.806513
339,1146.8018,3.18220,0.001531,0.806481
340,1146.3948,3.18344,0.001522,0.806458
341,1146.4675,3.18379,0.001572,0.806403
342,1146.4300,3.18170,0.001596,0.806376
343,1146.8839,3.18281,0.001566,0.806305
344,1145.9015,3.18134,0.001583,0.806264
345,1145.8233,3.17994,0.001421,0.806228
346,1145.0655,3.18038,0.001543,0.806172
347,1145.3636,3.18014,0.001536,0.806125
348,1145.7707,3.17991,0.001523,0.806070
349,1146.3127,3.18086,0.001443,0.806025
350,1145.2883,3.17918,0.001480,0.806006
351,1144.9289,3.17759,0.001447,0.805985
352,1146.4072,3.17937,0.001552,0.805916
353,1144.9553,3.17891,0.001535,0.805879
354,1144.9700,3.17932,0.001427,0.805807
355,1144.4205,3.17940,0.001350,0.805770
356,1143.6537,3.17768,0.001563,0.805742
357,1145.2841,3.17991,0.001457,0.805726
358,1144.5430,3.17786,0.001462,0.805699
359,1145.1082,3.18006,0.001438,0.805652
360,1145.1960,3.17979,0.001494,0.805591
361,1143.4454,3.17695,0.001440,0.805572
362,1145.5628,3.17951,0.001440,0.805521
363,1144.0630,3.17548,0.001406,0.805491
364,1144.1681,3.17770,0.001486,0.805416
365,1143.4951,3.17614,0.001404,0.805384
366,1143.0533,3.17558,0.001435,0.805332
367,1144.7886,3.17939,0.001434,0.805300
368,1142.6831,3.17467,0.001445,0.805279
369,1142.5293,3.17486,0.001370,0.805230
370,1144.7345,3.17875,0.001442,0.805192
371,1143.4527,3.17619,0.001400,0.805127
372,1142.9228,3.17635,0.001439,0.805102
373,1143.3732,3.17828,0.001416,0.805068
374,1143.0067,3.17384,0.001493,0.805028
375,1143.4531,3.17599,0.001392,0.804978
376,1143.3878,3.17501,0.001376,0.804943
377,1141.6268,3.17274,0.001328,0.804883
378,1142.2982,3.17443,0.001319,0.804840
379,1142.5355,3.17370,0.001363,0.804786
380,1142.6215,3.17552,0.001264,0.804714
381,1142.0820,3.17468,0.001340,0.804662
382,1141.6073,3.17277,0.001337,0.804633
383,1142.3677,3.17436,0.001326,0.804593
384,1141.6550,3.17201,0.001275,0.804529
385,1142.0045,3.17297,0.001238,0.804509
386,1140.1599,3.17190,0.001339,0.804469
387,1141.5710,3.17126,0.001351,0.804412
388,1141.0278,3.17110,0.001315,0.804366
389,1141.0548,3.17291,0.001303,0.804312
390,1141.6344,3.17274,0.001245,0.804288
391,1141.7501,3.17182,0.001184,0.804267
392,1141.0912,3.17183,0.001225,0.804226
393,1141.3293,3.17309,0.001201,0.804216
394,1141.0300,3.16983,0.001215,0.804177
395,1140.9873,3.17212,0.001289,0.804134
396,1140.9749,3.17125,0.001220,0.804126
397,1140.9676,3.16908,0.001271,0.804052
398,1140.0964,3.16981,0.001271,0.804006
399,1138.6701,3.16594,0.001229,0.803958
400,1140.4335,3.16988,0.001195,0.803947
401,1140.5208,3.17042,0.001225,0.803918
402,1140.2475,3.17046,0.001209,0.803858
403,1140.2317,3.16982,0.001227,0.803826
404,1140.7269,3.16982,0.001337,0.803787
405,1140.0645,3.17002,0.001236,0.803748
406,1140.6554,3.17124,0.001282,0.803695
407,1139.9943,3.17022,0.001107,0.803665
408,1139.8052,3.16896,0.001186,0.803643
409,1139.3398,3.16865,0.001185,0.803576
410,1139.4631,3.16649,0.001161,0.803539
411,1139.9135,3.16811,0.001170,0.803494
412,1139.7861,3.16840,0.001129,0.803484
413,1139.4161,3.16704,0.001162,0.803471
414,1139.6794,3.16988,0.001070,0.803443
415,1139.6208,3.16933,0.001362,0.803349
416,1139.3493,3.16790,0.001145,0.803299
417,1138.7778,3.16705,0.001109,0.803251
418,1139.1643,3.16599,0.001089,0.803252
419,1138.4494,3.16606,0.001122,0.803211
420,1139.2532,3.16689,0.001211,0.803172
421,1138.4592,3.16641,0.001169,0.803159
